TITLE,SCORE,DATE,CATEGORY
House of Cards,82,2/1/13,DRAMA
Hemlock Grove,38,4/19/13,DRAMA
Orange is the New Black,91,7/11/13,DRAMA
Marco Polo,24,12/12/14,DRAMA
Bloodline,80,3/20/15,DRAMA
Sense8,80,6/5/15,DRAMA
Narcos,84,8/28/15,DRAMA
Stranger Things,95,7/15/16,DRAMA
The Get Down,73,8/12/16,DRAMA
The Crown,91,11/4/16,DRAMA
The OA,75,12/16/16,DRAMA
A Series of Unfort.,94,1/13/17,DRAMA
13 Reasons Why,86,3/31/17,DRAMA
Gypsy,25,6/30/17,DRAMA
Ozark,63,7/21/17,DRAMA
Daredevil,98,4/10/15,DRAMA
Jessica Jones,92,11/20/15,DRAMA
Luke Cage,96,9/30/16,DRAMA
Iron Fist,17,3/15/17,DRAMA
The Defenders,75,8/18/17,DRAMA
Unbreakable KS,97,3/6/2015,COMEDY
Grace and Frankie,81,5/8/2015,COMEDY
Master of None,100,11/6/2015,COMEDY
Love,91,2/16,COMEDY
Fuller House,32,2/26/2016,COMEDY
Flaked,42,3/11/2016,COMEDY
The Characters,50,3/11/2016,COMEDY
The Ranch,56,4/1/2016,COMEDY
Lady Dynamite,94,5/20/2016,COMEDY
Easy,94,9/22/2016,COMEDY
Haters Back Off,47,10/14/2016,COMEDY
One Day at a Time,96,1/6/2017,COMEDY
Santa Clarita Diet,72,2/3/2017,COMEDY
MST 3000,100,4/14/2017,COMEDY
Girlboss,32,4/21/2017,COMEDY
Dear White People,100,4/28/2017,COMEDY
Glow,94,6/23/2017,COMEDY
The Standups,66,7/4/2017,COMEDY
Friends from College,24,7/14/2017,COMEDY
Atypical,80,8/11/2017,COMEDY
Disjointed,13,8/25/2017,COMEDY
Wet Hot American Summer,92,8/4/2017,COMEDY
Bojack,86,8/22/2014,ADULT ANIMATION
F is for Family,81,12/18/2015,ADULT ANIMATION
Castlevania,85,7/7/2017,ADULT ANIMATION